z:\sample116.vms
Si 2p
	Characteristic Energy eV	1486.6	Acquisition Time s	3
KE_Si 2p	BE_Si 2p	CPS_Si 2p	Si 2p_1_Si 2p	Si 2p_2_Si 2p	Background_Si 2p	Envelope_Si 2p
1388.87	97.735	27.3333	25.1327	25.1327	25.1327	25.1327
1388.89	97.71	25.3333	25.1326	25.1326	25.1326	25.1326
1388.92	97.685	20.3333	25.131	25.131	25.131	25.131
1388.94	97.66	31.3333	25.1288	25.1288	25.1288	25.1288
1388.97	97.635	28.3333	25.1277	25.1277	25.1277	25.1277
1388.99	97.61	26.3333	25.1273	25.1273	25.1273	25.1273
1389.02	97.585	27.3333	25.1265	25.1265	25.1265	25.1265
1389.04	97.56	29	25.1251	25.1251	25.1251	25.1251
1389.07	97.535	20.6667	25.1236	25.1236	25.1236	25.1236
1389.09	97.51	24.3333	25.1233	25.1233	25.1233	25.1233
1389.12	97.485	23	25.1226	25.1226	25.1226	25.1226
1389.14	97.46	29.6667	25.121	25.121	25.121	25.121
1389.17	97.435	28.3333	25.1198	25.1198	25.1198	25.1198
1389.19	97.41	30.3333	25.118	25.118	25.118	25.118
1389.22	97.385	24.6667	25.1179	25.1179	25.1179	25.1179
1389.24	97.36	29	25.1165	25.1165	25.1165	25.1165
1389.27	97.335	33.6667	25.1135	25.1135	25.1135	25.1135
1389.29	97.31	28.3333	25.1124	25.1124	25.1124	25.1124
1389.32	97.285	23	25.1117	25.1117	25.1117	25.1117
1389.34	97.26	25	25.1116	25.1116	25.1116	25.1116
1389.37	97.235	23.6667	25.1111	25.1111	25.1111	25.1111
1389.39	97.21	26.6667	26.6667	26.6667	26.6667	26.6667
1389.42	97.185	21	21	21	21	21
1389.44	97.16	29.6667	29.6667	29.6667	29.6667	29.6667
1389.47	97.135	22.6667	22.6667	22.6667	22.6667	22.6667
1389.49	97.11	27.6667	27.6667	27.6667	27.6667	27.6667
1389.52	97.085	21.6667	21.6667	21.6667	21.6667	21.6667
1389.54	97.06	24	24	24	24	24
1389.57	97.035	30.6667	30.6667	30.6667	30.6667	30.6667
1389.59	97.01	30.3333	30.3333	30.3333	30.3333	30.3333
1389.62	96.985	26	26	26	26	26
1389.64	96.96	23	23	23	23	23
1389.67	96.935	22.6667	22.6667	22.6667	22.6667	22.6667
1389.69	96.91	24.3333	24.3333	24.3333	24.3333	24.3333
1389.72	96.885	22	22	22	22	22
1389.74	96.86	27	27	27	27	27
1389.77	96.835	24.6667	24.6667	24.6667	24.6667	24.6667
1389.79	96.81	20.6667	20.6667	20.6667	20.6667	20.6667
1389.82	96.785	26.6667	26.6667	26.6667	26.6667	26.6667
1389.84	96.76	26	26	26	26	26
1389.87	96.735	26	26	26	26	26
1389.89	96.71	18.6667	18.6667	18.6667	18.6667	18.6667
1389.92	96.685	20	20	20	20	20
1389.94	96.66	25.6667	25.6667	25.6667	25.6667	25.6667
1389.97	96.635	22.3333	22.3333	22.3333	22.3333	22.3333
1389.99	96.61	22.6667	22.6667	22.6667	22.6667	22.6667
1390.02	96.585	29.6667	29.6667	29.6667	29.6667	29.6667
1390.04	96.56	27.6667	27.6667	27.6667	27.6667	27.6667
1390.07	96.535	25	25	25	25	25
1390.09	96.51	24.3333	24.3333	24.3333	24.3333	24.3333
1390.12	96.485	26.6667	26.6667	26.6667	26.6667	26.6667
1390.14	96.46	27.3333	27.3333	27.3333	27.3333	27.3333
1390.17	96.435	19.6667	19.6667	19.6667	19.6667	19.6667
1390.19	96.41	21.6667	21.6667	21.6667	21.6667	21.6667
1390.22	96.385	29	29	29	29	29
1390.24	96.36	23.3333	23.3333	23.3333	23.3333	23.3333
1390.27	96.335	23	23	23	23	23
1390.29	96.31	25.3333	25.3333	25.3333	25.3333	25.3333
1390.32	96.285	27.3333	27.3333	27.3333	27.3333	27.3333
1390.34	96.26	23	23	23	23	23
1390.37	96.235	24	24	24	24	24
1390.39	96.21	21	21	21	21	21
1390.42	96.185	20.6667	20.6667	20.6667	20.6667	20.6667
1390.44	96.16	23.6667	23.6667	23.6667	23.6667	23.6667
1390.47	96.135	21.3333	21.3333	21.3333	21.3333	21.3333
1390.49	96.11	25	25	25	25	25
1390.52	96.085	28.6667	28.6667	28.6667	28.6667	28.6667
1390.54	96.06	29.3333	29.3333	29.3333	29.3333	29.3333
1390.57	96.035	20.6667	20.6667	20.6667	20.6667	20.6667
1390.59	96.01	23	23	23	23	23
1390.62	95.985	21	21	21	21	21
1390.64	95.96	20.3333	20.3333	20.3333	20.3333	20.3333
1390.67	95.935	18.6667	18.6667	18.6667	18.6667	18.6667
1390.69	95.91	23	23	23	23	23
1390.72	95.885	21.3333	21.3333	21.3333	21.3333	21.3333
1390.74	95.86	22.6667	22.6667	22.6667	22.6667	22.6667
1390.77	95.835	25.6667	25.6667	25.6667	25.6667	25.6667
1390.79	95.81	22.6667	22.6667	22.6667	22.6667	22.6667
1390.82	95.785	21.3333	21.3333	21.3333	21.3333	21.3333
1390.84	95.76	21.3333	21.3333	21.3333	21.3333	21.3333
1390.87	95.735	19	19	19	19	19
1390.89	95.71	22.6667	22.6667	22.6667	22.6667	22.6667
1390.92	95.685	20	20	20	20	20
1390.94	95.66	22.3333	22.3333	22.3333	22.3333	22.3333
1390.97	95.635	20.3333	20.3333	20.3333	20.3333	20.3333
1390.99	95.61	25.6667	25.6667	25.6667	25.6667	25.6667
1391.02	95.585	20	20	20	20	20
1391.04	95.56	26.6667	26.6667	26.6667	26.6667	26.6667
1391.07	95.535	23	23	23	23	23
1391.09	95.51	23.3333	23.3333	23.3333	23.3333	23.3333
1391.12	95.485	22.3333	22.3333	22.3333	22.3333	22.3333
1391.14	95.46	23	23	23	23	23
1391.17	95.435	24.3333	24.3333	24.3333	24.3333	24.3333
1391.19	95.41	23.3333	23.3333	23.3333	23.3333	23.3333
1391.22	95.385	23.6667	23.6667	23.6667	23.6667	23.6667
1391.24	95.36	20.3333	20.3333	20.3333	20.3333	20.3333
1391.27	95.335	27	27	27	27	27
1391.29	95.31	21.3333	21.3333	21.3333	21.3333	21.3333
1391.32	95.285	24	24	24	24	24
1391.34	95.26	22.6667	22.6667	22.6667	22.6667	22.6667
1391.37	95.235	25	25	25	25	25
1391.39	95.21	25.6667	25.6667	25.6667	25.6667	25.6667
1391.42	95.185	19.6667	19.6667	19.6667	19.6667	19.6667
1391.44	95.16	21	21	21	21	21
1391.47	95.135	20.6667	20.6667	20.6667	20.6667	20.6667
1391.49	95.11	29.6667	29.6667	29.6667	29.6667	29.6667
1391.52	95.085	26.6667	26.6667	26.6667	26.6667	26.6667
1391.54	95.06	19.3333	19.3333	19.3333	19.3333	19.3333
1391.57	95.035	22.6667	22.6667	22.6667	22.6667	22.6667
1391.59	95.01	21	21	21	21	21
1391.62	94.985	26	26	26	26	26
1391.64	94.96	22	22	22	22	22
1391.67	94.935	22.3333	22.3333	22.3333	22.3333	22.3333
1391.69	94.91	22.3333	22.3333	22.3333	22.3333	22.3333
1391.72	94.885	32.6667	32.6667	32.6667	32.6667	32.6667
1391.74	94.86	24	24	24	24	24
1391.77	94.835	28.6667	28.6667	28.6667	28.6667	28.6667
1391.79	94.81	21.3333	21.3333	21.3333	21.3333	21.3333
