Comment  : 
Probe    : 
CfgTyp   : $628
Fileform : $BF
Date     : 08.01.2013  01:48:48
Program  : EMP/2-M
Version  : 00.4A1
MeasTyp  : CFS
Analys.  : 1
Scans    : 1
Points   : 173
 4.0138000E+02  2.582314E-11  2.982800E+02
 4.0139000E+02  2.421194E-11  2.982710E+02
 4.0140000E+02  2.107130E-11  2.982600E+02
 4.0141000E+02  1.770535E-11  2.982500E+02
 4.0142000E+02  1.598646E-11  2.982380E+02
 4.0143000E+02  1.412004E-11  2.982300E+02
 4.0144000E+02  9.881677E-12  2.982200E+02
 4.0145000E+02  8.988342E-12  2.982100E+02
 4.0146000E+02  8.733102E-12  2.981990E+02
 4.0147000E+02  7.833787E-12  2.981890E+02
 4.0148000E+02  6.861682E-12  2.981780E+02
 4.0149000E+02  5.248495E-12  2.981690E+02
 4.0150000E+02  5.593464E-12  2.981590E+02
 4.0151000E+02  6.848717E-12  2.981490E+02
 4.0152000E+02  5.876619E-12  2.981380E+02
 4.0153000E+02  8.248546E-12  2.981450E+02
 4.0154000E+02  8.431997E-12  2.984280E+02
 4.0155000E+02  9.520753E-12  2.984470E+02
 4.0156000E+02  9.709187E-12  2.984390E+02
 4.0157000E+02  9.625439E-12  2.984260E+02
 4.0158000E+02  1.049385E-11  2.984180E+02
 4.0159000E+02  9.591539E-12  2.984070E+02
 4.0160000E+02  8.691223E-12  2.983970E+02
 4.0161000E+02  7.403067E-12  2.983870E+02
 4.0162000E+02  7.287414E-12  2.983740E+02
 4.0163000E+02  6.825789E-12  2.983650E+02
 4.0164000E+02  6.478824E-12  2.983560E+02
 4.0165000E+02  4.190649E-12  2.983450E+02
 4.0166000E+02  3.269397E-12  2.983350E+02
 4.0167000E+02  3.247462E-12  2.983240E+02
 4.0168000E+02  2.072963E-12  2.983150E+02
 4.0169000E+02  1.059986E-12  2.983050E+02
 4.0170000E+02  1.826022E-13  2.982940E+02
 4.0171000E+02  3.022455E-13  2.982840E+02
 4.0172000E+02  9.602827E-13  2.982740E+02
 4.0173000E+02 -1.460581E-12  2.982640E+02
 4.0174000E+02 -1.579236E-12  2.982530E+02
 4.0175000E+02 -1.445626E-12  2.982430E+02
 4.0176000E+02 -1.073713E-12  2.982320E+02
 4.0177000E+02 -1.164448E-12  2.982220E+02
 4.0178000E+02 -5.462544E-13  2.982120E+02
 4.0179000E+02 -1.154477E-12  2.982010E+02
 4.0180000E+02 -1.834489E-12  2.981920E+02
 4.0181000E+02 -1.076704E-12  2.981820E+02
 4.0182000E+02 -1.976075E-12  2.981720E+02
 4.0183000E+02 -3.108765E-12  2.983460E+02
 4.0184000E+02 -4.366089E-12  2.985080E+02
 4.0185000E+02 -6.583608E-12  2.984980E+02
 4.0186000E+02 -5.379126E-12  2.984880E+02
 4.0187000E+02 -5.838786E-12  2.984760E+02
 4.0188000E+02 -6.440028E-12  2.984670E+02
 4.0189000E+02 -8.114136E-12  2.984570E+02
 4.0190000E+02 -7.942637E-12  2.984470E+02
 4.0191000E+02 -8.200883E-12  2.984350E+02
 4.0192000E+02 -6.601553E-12  2.984260E+02
 4.0193000E+02 -9.707477E-12  2.984160E+02
 4.0194000E+02 -8.244754E-12  2.984070E+02
 4.0195000E+02 -9.035441E-12  2.983970E+02
 4.0196000E+02 -9.024476E-12  2.983860E+02
 4.0197000E+02 -8.312556E-12  2.983760E+02
 4.0198000E+02 -7.071182E-12  2.983660E+02
 4.0199000E+02 -7.898760E-12  2.983570E+02
 4.0200000E+02 -6.060139E-12  2.983460E+02
 4.0201000E+02 -7.859874E-12  2.983350E+02
 4.0202000E+02 -8.205864E-12  2.983240E+02
 4.0203000E+02 -6.341313E-12  2.983150E+02
 4.0204000E+02 -8.639598E-12  2.983050E+02
 4.0205000E+02 -8.142055E-12  2.982950E+02
 4.0206000E+02 -7.484971E-12  2.982830E+02
 4.0207000E+02 -7.702333E-12  2.982740E+02
 4.0208000E+02 -7.718293E-12  2.982640E+02
 4.0209000E+02 -7.433124E-12  2.982540E+02
 4.0210000E+02 -7.702338E-12  2.982440E+02
 4.0211000E+02 -7.789082E-12  2.982340E+02
 4.0212000E+02 -8.401294E-12  2.982230E+02
 4.0213000E+02 -8.107153E-12  2.982640E+02
 4.0214000E+02 -8.230793E-12  2.985530E+02
 4.0215000E+02 -6.711235E-12  2.985430E+02
 4.0216000E+02 -8.054306E-12  2.985330E+02
 4.0217000E+02 -3.063897E-12  2.985230E+02
 4.0218000E+02 -6.145885E-12  2.985130E+02
 4.0219000E+02 -6.234627E-12  2.985020E+02
 4.0220000E+02 -7.637527E-12  2.984920E+02
 4.0221000E+02 -9.662608E-12  2.984850E+02
 4.0222000E+02 -7.862869E-12  2.984730E+02
END
