# AE file: C:\AES\Matthias\WSe2_sputtered PE/volt cal. factor =        1. Y is volts 
00107.4255 0000.1453 01314  001
00107.9168 0000.1508 01320  001
00108.4081 0000.1541 01326  001
00108.8994 0000.1535 01332  001
00109.3907 0000.1596 01338  001
00109.8820 0000.1599 01344  001
00110.3733 0000.1645 01350  001
00110.8646 0000.1669 01356  001
00111.3559 0000.1678 01362  001
00111.8472 0000.1721 01368  001
00112.3385 0000.1746 01374  001
00112.8298 0000.1791 01380  001
00113.3211 0000.1843 01386  001
00113.8124 0000.1843 01392  001
00114.3037 0000.1852 01398  001
00114.7950 0000.1889 01404  001
00115.2863 0000.1880 01410  001
00115.7776 0000.1913 01416  001
00116.2689 0000.1932 01422  001
00116.7602 0000.1938 01428  001
00117.2515 0000.1990 01434  001
00117.7428 0000.1999 01440  001
00118.2341 0000.1965 01446  001
00118.7254 0000.1971 01452  001
00119.2167 0000.1953 01458  001
00119.7080 0000.2042 01464  001
00120.1993 0000.2060 01470  001
00120.6906 0000.2069 01476  001
00121.1819 0000.2075 01482  001
00121.6732 0000.2045 01488  001
00122.1645 0000.2069 01494  001
00122.6558 0000.2124 01500  001
00123.1471 0000.2109 01506  001
00123.6385 0000.2142 01512  001
00124.1298 0000.2158 01518  001
00124.6211 0000.2112 01524  001
00125.1124 0000.2121 01530  001
00125.6037 0000.2139 01536  001
00126.0950 0000.2188 01542  001
00126.5863 0000.2176 01548  001
00127.0776 0000.2225 01554  001
00127.5689 0000.2234 01560  001
00128.0602 0000.2206 01566  001
00128.5515 0000.2222 01572  001
00129.0428 0000.2188 01578  001
00129.5341 0000.2167 01584  001
00130.0254 0000.2158 01590  001
00130.5167 0000.2188 01596  001
00131.0080 0000.2164 01602  001
00131.4993 0000.2151 01608  001
00131.9906 0000.2139 01614  001
00132.4819 0000.2142 01620  001
00132.9732 0000.2158 01626  001
00133.4645 0000.2170 01632  001
00133.9558 0000.2151 01638  001
00134.4471 0000.2188 01644  001
00134.9384 0000.2203 01650  001
00135.4297 0000.2200 01656  001
00135.9210 0000.2194 01662  001
00136.4123 0000.2237 01668  001
00136.9036 0000.2231 01674  001
00137.3949 0000.2216 01680  001
00137.8862 0000.2234 01686  001
00138.3775 0000.2191 01692  001
00138.8688 0000.2206 01698  001
00139.3601 0000.2203 01704  001
00139.8515 0000.2206 01710  001
00140.3428 0000.2225 01716  001
00140.8341 0000.2222 01722  001
00141.3254 0000.2240 01728  001
00141.8167 0000.2222 01734  001
00142.3080 0000.2222 01740  001
00142.7993 0000.2255 01746  001
00143.2906 0000.2258 01752  001
00143.7819 0000.2271 01758  001
00144.2732 0000.2261 01764  001
00144.7645 0000.2243 01770  001
00145.2558 0000.2243 01776  001
00145.7471 0000.2246 01782  001
00146.2384 0000.2209 01788  001
00146.7297 0000.2191 01794  001
00147.2210 0000.2182 01800  001
00147.7123 0000.2252 01806  001
00148.2036 0000.2261 01812  001
00148.6949 0000.2283 01818  001
00149.1862 0000.2280 01824  001
00149.6775 0000.2231 01830  001
00150.1688 0000.2234 01836  001
00150.6601 0000.2200 01842  001
00151.1514 0000.2197 01848  001
00151.6427 0000.2206 01854  001
00152.1340 0000.2188 01860  001
00152.6253 0000.2200 01866  001
00153.1166 0000.2197 01872  001
00153.6079 0000.2194 01878  001
00154.0992 0000.2182 01884  001
00154.5905 0000.2197 01890  001
00155.0818 0000.2213 01896  001
00155.5731 0000.2191 01902  001
00156.0644 0000.2216 01908  001
00156.5557 0000.2213 01914  001
00157.0470 0000.2267 01920  001
00157.5384 0000.2271 01926  001
00158.0297 0000.2298 01932  001
00158.5210 0000.2301 01938  001
00159.0123 0000.2347 01944  001
00159.5036 0000.2362 01950  001
00159.9949 0000.2350 01956  001
00160.4862 0000.2405 01962  001
00160.9775 0000.2435 01968  001
00161.4688 0000.2435 01974  001
00161.9601 0000.2414 01980  001
00162.4514 0000.2426 01986  001
00162.9427 0000.2429 01992  001
00163.4340 0000.2371 01998  001
00163.9253 0000.2393 02004  001
00164.4166 0000.2359 02010  001
00164.9079 0000.2353 02016  001
00165.3992 0000.2365 02022  001
00165.8905 0000.2292 02028  001
00166.3818 0000.2283 02034  001
00166.8731 0000.2274 02040  001
00167.3644 0000.2237 02046  001
00167.8557 0000.2209 02052  001
00168.3470 0000.2155 02058  001
00168.8383 0000.2130 02064  001
00169.3296 0000.2124 02070  001
00169.8209 0000.2103 02076  001
00170.3122 0000.2078 02082  001
00170.8035 0000.2060 02088  001
00171.2948 0000.2075 02094  001
00171.7861 0000.2100 02100  001
00172.2774 0000.2081 02106  001
00172.7687 0000.2097 02112  001
00173.2600 0000.2121 02118  001
00173.7513 0000.2103 02124  001
00174.2426 0000.2133 02130  001
00174.7339 0000.2142 02136  001
00175.2253 0000.2194 02142  001
00175.7166 0000.2155 02148  001
00176.2079 0000.2151 02154  001
00176.6992 0000.2161 02160  001
00177.1905 0000.2121 02166  001
00177.6818 0000.2106 02172  001
00178.1731 0000.2081 02178  001
00178.6644 0000.2054 02184  001
00179.1557 0000.2060 02190  001
00179.6470 0000.2048 02196  001
00180.1383 0000.2032 02202  001
00180.6296 0000.2029 02208  001
00181.1209 0000.1978 02214  001
00181.6122 0000.1965 02220  001
00182.1035 0000.1999 02226  001
00182.5948 0000.1984 02232  001
00183.0861 0000.2023 02238  001
00183.5774 0000.2063 02244  001
00184.0687 0000.2072 02250  001
00184.5600 0000.2069 02256  001
00185.0513 0000.2069 02262  001
00185.5426 0000.2118 02268  001
00186.0339 0000.2118 02274  001
00186.5252 0000.2133 02280  001
00187.0165 0000.2145 02286  001
00187.5078 0000.2191 02292  001
00187.9991 0000.2182 02298  001
00188.4904 0000.2200 02304  001
00188.9817 0000.2219 02310  001
00189.4730 0000.2219 02316  001
00189.9643 0000.2246 02322  001
00190.4556 0000.2286 02328  001
00190.9469 0000.2243 02334  001
00191.4382 0000.2271 02340  001
00191.9296 0000.2301 02346  001
00192.4209 0000.2277 02352  001
00192.9122 0000.2264 02358  001
00193.4035 0000.2298 02364  001
00193.8948 0000.2316 02370  001
00194.3861 0000.2325 02376  001
00194.8774 0000.2365 02382  001
00195.3687 0000.2377 02388  001
00195.8600 0000.2408 02394  001
00196.3513 0000.2402 02400  001
00196.8426 0000.2444 02406  001
00197.3339 0000.2475 02412  001
00197.8252 0000.2444 02418  001
00198.3165 0000.2487 02424  001
00198.8078 0000.2478 02430  001
00199.2991 0000.2435 02436  001
00199.7904 0000.2472 02442  001
00200.2817 0000.2457 02448  001
00200.7730 0000.2481 02454  001
00201.2643 0000.2502 02460  001
00201.7556 0000.2505 02466  001
00202.2469 0000.2502 02472  001
00202.7382 0000.2557 02478  001
00203.2295 0000.2521 02484  001
00203.7208 0000.2524 02490  001
00204.2121 0000.2539 02496  001
00204.7034 0000.2515 02502  001
00205.1947 0000.2496 02508  001
00205.6860 0000.2521 02514  001
00206.1773 0000.2478 02520  001
00206.6686 0000.2487 02526  001
00207.1599 0000.2484 02532  001
00207.6512 0000.2490 02538  001
00208.1425 0000.2478 02544  001
00208.6339 0000.2441 02550  001
00209.1252 0000.2411 02556  001
00209.6165 0000.2454 02562  001
00210.1078 0000.2463 02568  001
00210.5991 0000.2487 02574  001
00211.0904 0000.2502 02580  001
00211.5817 0000.2490 02586  001
00212.0730 0000.2518 02592  001
00212.5643 0000.2527 02598  001
00213.0556 0000.2554 02604  001
00213.5469 0000.2542 02610  001
00214.0382 0000.2536 02616  001
00214.5295 0000.2521 02622  001
00215.0208 0000.2527 02628  001
00215.5121 0000.2548 02634  001
00216.0034 0000.2521 02640  001
00216.4947 0000.2527 02646  001
00216.9860 0000.2512 02652  001
00217.4773 0000.2454 02658  001
00217.9686 0000.2417 02664  001
00218.4599 0000.2432 02670  001
00218.9512 0000.2426 02676  001
00219.4425 0000.2380 02682  001
00219.9338 0000.2380 02688  001
00220.4251 0000.2359 02694  001
00220.9164 0000.2390 02700  001
00221.4077 0000.2411 02706  001
00221.8990 0000.2399 02712  001
00222.3903 0000.2377 02718  001
00222.8816 0000.2393 02724  001
00223.3729 0000.2383 02730  001
00223.8642 0000.2390 02736  001
00224.3555 0000.2386 02742  001
00224.8468 0000.2377 02748  001
00225.3382 0000.2344 02754  001
00225.8295 0000.2338 02760  001
00226.3208 0000.2365 02766  001
00226.8121 0000.2377 02772  001
00227.3034 0000.2405 02778  001
00227.7947 0000.2454 02784  001
00228.2860 0000.2475 02790  001
00228.7773 0000.2472 02796  001
00229.2686 0000.2493 02802  001
00229.7599 0000.2533 02808  001
00230.2512 0000.2524 02814  001
00230.7425 0000.2518 02820  001
00231.2338 0000.2466 02826  001
00231.7251 0000.2484 02832  001
00232.2164 0000.2521 02838  001
00232.7077 0000.2524 02844  001
00233.1990 0000.2496 02850  001
00233.6903 0000.2466 02856  001
00234.1816 0000.2466 02862  001
00234.6729 0000.2499 02868  001
00235.1642 0000.2545 02874  001
00235.6555 0000.2542 02880  001
00236.1468 0000.2576 02886  001
00236.6381 0000.2603 02892  001
00237.1294 0000.2597 02898  001
00237.6207 0000.2606 02904  001
00238.1120 0000.2631 02910  001
00238.6033 0000.2606 02916  001
00239.0946 0000.2600 02922  001
00239.5859 0000.2591 02928  001
00240.0772 0000.2621 02934  001
00240.5685 0000.2652 02940  001
00241.0598 0000.2676 02946  001
00241.5511 0000.2676 02952  001
00242.0424 0000.2661 02958  001
00242.5338 0000.2646 02964  001
00243.0251 0000.2640 02970  001
00243.5164 0000.2634 02976  001
00244.0077 0000.2634 02982  001
00244.4990 0000.2628 02988  001
00244.9903 0000.2621 02994  001
00245.4816 0000.2625 03000  001
00245.9729 0000.2673 03006  001
00246.4642 0000.2676 03012  001
00246.9555 0000.2722 03018  001
00247.4468 0000.2682 03024  001
00247.9381 0000.2701 03030  001
00248.4294 0000.2704 03036  001
00248.9207 0000.2667 03042  001
00249.4120 0000.2695 03048  001
00249.9033 0000.2740 03054  001
00250.3946 0000.2750 03060  001
00250.8859 0000.2713 03066  001
00251.3772 0000.2689 03072  001
00251.8685 0000.2710 03078  001
00252.3598 0000.2686 03084  001
00252.8511 0000.2719 03090  001
00253.3424 0000.2756 03096  001
00253.8337 0000.2744 03102  001
00254.3250 0000.2747 03108  001
00254.8163 0000.2744 03114  001
00255.3076 0000.2731 03120  001
00255.7989 0000.2734 03126  001
00256.2903 0000.2740 03132  001
00256.7816 0000.2744 03138  001
00257.2729 0000.2759 03144  001
00257.7642 0000.2783 03150  001
00258.2555 0000.2771 03156  001
00258.7468 0000.2795 03162  001
00259.2381 0000.2759 03168  001
00259.7294 0000.2750 03174  001
