Comment : 
Probe   : 
FileName: B54CIS01.DAT
Fileform:      7
Date    : 14.05.99  11:57:22
Program : EMP
Version :       3.1
MeasTime:      0.0000
ScanTime:    948.6785
MeasTyp : CFS
Analys. :      1
Scans   :      1
Points  :    801
MonSta  :    270.0000
MonEnd  :    350.0000
AnaSta  :    200.0000
AnaEnd  :    600.0000
AnaRange:   1000.0000
AnaMin  :    100.0000
DACsta  :      0.0000
DACend  :     10.0000
DeltaE  :      0.0248
MonSpeed:    500.0000
ScanCtrl: ENERGY
DelayVal:      0.0000
SecMeas : FALSE
ChanType: MEASURE , MEASURE
Devices :        DMM1 , TIME: 5.00000E-02 , MODE:1 , RANGE:3 , AVERAGE:20 , TRIGGER:1
 2.80600E+02  5.17562E-01  0.00000E+00 
 2.80700E+02  5.14525E-01  0.00000E+00 
 2.80799E+02  5.16925E-01  0.00000E+00 
 2.80899E+02  5.11875E-01  0.00000E+00 
 2.81000E+02  5.09700E-01  0.00000E+00 
 2.81100E+02  5.10687E-01  0.00000E+00 
 2.81200E+02  5.05075E-01  0.00000E+00 
 2.81299E+02  5.03475E-01  0.00000E+00 
 2.81399E+02  4.93712E-01  0.00000E+00 
 2.81500E+02  4.99087E-01  0.00000E+00 
 2.81600E+02  5.00450E-01  0.00000E+00 
 2.81700E+02  4.94687E-01  0.00000E+00 
 2.81799E+02  4.99262E-01  0.00000E+00 
 2.81899E+02  4.93375E-01  0.00000E+00 
 2.82000E+02  4.86812E-01  0.00000E+00 
 2.82100E+02  4.84787E-01  0.00000E+00 
 2.82200E+02  4.69437E-01  0.00000E+00 
 2.82299E+02  4.79287E-01  0.00000E+00 
 2.82399E+02  4.78500E-01  0.00000E+00 
 2.82500E+02  4.75325E-01  0.00000E+00 
 2.82600E+02  4.74037E-01  0.00000E+00 
 2.82700E+02  4.74037E-01  0.00000E+00 
 2.82799E+02  4.67837E-01  0.00000E+00 
 2.82899E+02  4.65575E-01  0.00000E+00 
 2.83000E+02  4.61650E-01  0.00000E+00 
 2.83100E+02  4.57225E-01  0.00000E+00 
 2.83200E+02  4.56375E-01  0.00000E+00 
 2.83299E+02  4.53900E-01  0.00000E+00 
 2.83399E+02  4.51075E-01  0.00000E+00 
 2.83500E+02  4.51212E-01  0.00000E+00 
 2.83600E+02  4.45400E-01  0.00000E+00 
 2.83700E+02  4.43337E-01  0.00000E+00 
 2.83799E+02  4.40162E-01  0.00000E+00 
 2.83899E+02  4.37750E-01  0.00000E+00 
 2.84000E+02  4.37700E-01  0.00000E+00 
 2.84100E+02  4.36187E-01  0.00000E+00 
 2.84200E+02  4.35187E-01  0.00000E+00 
 2.84299E+02  4.35912E-01  0.00000E+00 
 2.84399E+02  4.35250E-01  0.00000E+00 
 2.84500E+02  4.36775E-01  0.00000E+00 
 2.84600E+02  4.40300E-01  0.00000E+00 
 2.84700E+02  4.39362E-01  0.00000E+00 
 2.84799E+02  4.43087E-01  0.00000E+00 
 2.84899E+02  4.48387E-01  0.00000E+00 
 2.85000E+02  4.55687E-01  0.00000E+00 
 2.85100E+02  4.71062E-01  0.00000E+00 
 2.85200E+02  4.86337E-01  0.00000E+00 
 2.85299E+02  5.10412E-01  0.00000E+00 
 2.85399E+02  5.37925E-01  0.00000E+00 
 2.85500E+02  5.61650E-01  0.00000E+00 
 2.85600E+02  6.00312E-01  0.00000E+00 
 2.85700E+02  6.60475E-01  0.00000E+00 
 2.85799E+02  7.16000E-01  0.00000E+00 
 2.85899E+02  7.75700E-01  0.00000E+00 
 2.86000E+02  8.37837E-01  0.00000E+00 
 2.86100E+02  9.10400E-01  0.00000E+00 
 2.86200E+02  9.74800E-01  0.00000E+00 
 2.86299E+02  1.02885E+00  0.00000E+00 
 2.86399E+02  1.05906E+00  0.00000E+00 
 2.86500E+02  1.09257E+00  0.00000E+00 
 2.86600E+02  1.08937E+00  0.00000E+00 
 2.86700E+02  1.08205E+00  0.00000E+00 
 2.86799E+02  1.05323E+00  0.00000E+00 
 2.86899E+02  1.01821E+00  0.00000E+00 
