"Dataset 163336 average 1-40 - C:\Program Files\Shimadzu\UVProbe\Data\sample.spc"
"Wavelength nm."	"R%"
1018.00	83.073
1020.00	80.448
1022.00	81.579
1024.00	83.003
1026.00	80.648
1028.00	81.408
1030.00	80.753
1032.00	80.885
1034.00	81.637
1036.00	81.289
1038.00	81.158
1040.00	83.718
1042.00	77.701
1044.00	85.213
1046.00	79.571
1048.00	83.783
1050.00	82.377
1052.00	80.584
1054.00	80.983
1056.00	82.072
1058.00	84.737
1060.00	81.240
1062.00	81.959
1064.00	82.749
1066.00	81.678
1068.00	82.369
1070.00	83.258
1072.00	81.370
1074.00	85.435
1076.00	81.834
1078.00	83.500
1080.00	83.439
1082.00	80.558
1084.00	82.951
1086.00	82.023
1088.00	83.152
1090.00	85.519
1092.00	82.034
1094.00	83.738
1096.00	82.442
1098.00	83.506
1100.00	82.241
1102.00	84.889
1104.00	80.332
1106.00	84.498
1108.00	82.215
1110.00	86.003
1112.00	84.461
1114.00	82.740
1116.00	85.226
1118.00	83.005
1120.00	83.695
1122.00	83.370
1124.00	82.239
1126.00	85.875
1128.00	84.249
1130.00	83.861
1132.00	86.334
1134.00	83.644
1136.00	82.773
1138.00	85.040
1140.00	80.976
1142.00	86.254
1144.00	83.718
1146.00	84.970
1148.00	84.383
1150.00	84.104
1152.00	85.074
1154.00	84.317
1156.00	85.570
1158.00	87.392
1160.00	84.963
1162.00	85.384
1164.00	85.141
1166.00	84.243
1168.00	85.661
1170.00	86.015
1172.00	85.538
1174.00	87.024
1176.00	83.906
1178.00	87.941
1180.00	84.291
1182.00	85.540
1184.00	86.784
1186.00	84.415
1188.00	86.065
1190.00	85.148
1192.00	85.269
1194.00	87.096
1196.00	86.488
1198.00	84.978
1200.00	86.867
1202.00	83.449
1204.00	87.806
1206.00	85.049
1208.00	86.468
1210.00	86.878
1212.00	85.729
1214.00	86.125
1216.00	85.851
1218.00	85.406
1220.00	86.538
1222.00	83.716
1224.00	85.441
1226.00	85.380
1228.00	87.326
1230.00	86.345
1232.00	86.143
1234.00	87.013
1236.00	87.310
1238.00	85.816
1240.00	88.107
1242.00	84.096
1244.00	84.515
1246.00	87.396
1248.00	85.315
1250.00	86.072
1252.00	87.533
1254.00	86.299
1256.00	87.194
1258.00	86.493
1260.00	85.542
1262.00	86.523
1264.00	85.839
1266.00	86.638
1268.00	87.985
1270.00	86.384
1272.00	88.761
1274.00	85.037
1276.00	86.806
1278.00	87.552
1280.00	87.179
1282.00	87.226
1284.00	86.775
1286.00	84.225
1288.00	87.323
1290.00	88.114
1292.00	86.718
1294.00	89.366
1296.00	85.581
1298.00	87.474
1300.00	88.022
1302.00	87.005
1304.00	86.250
1306.00	88.326
1308.00	85.387
1310.00	88.118
1312.00	85.914
1314.00	87.267
1316.00	89.562
1318.00	87.609
1320.00	89.653
1322.00	90.284
1324.00	87.900
1326.00	87.304
1328.00	87.839
1330.00	88.677
1332.00	88.031
1334.00	90.628
1336.00	88.209
1338.00	87.566
1340.00	88.750
1342.00	89.309
1344.00	89.665
1346.00	88.632
1348.00	87.578
1350.00	92.176
1352.00	90.323
1354.00	90.750
1356.00	91.475
1358.00	89.645
1360.00	88.899
1362.00	92.718
1364.00	84.734
1366.00	92.501
1368.00	86.689
1370.00	90.030
1372.00	91.831
1374.00	90.243
1376.00	88.845
1378.00	92.736
1380.00	87.295
1382.00	90.356
1384.00	94.774
1386.00	92.600
1388.00	92.105
1390.00	91.403
1392.00	94.076
1394.00	93.958
1396.00	90.223
1398.00	96.065
1400.00	89.347
1402.00	96.638
1404.00	93.704
1406.00	93.258
1408.00	95.454
1410.00	95.117
1412.00	98.533
1414.00	93.868
1416.00	99.452
1418.00	97.192
1420.00	95.402
1422.00	94.708
1424.00	99.474
1426.00	93.266
1428.00	101.138
1430.00	96.036
1432.00	100.444
1434.00	99.862
1436.00	98.473
1438.00	99.211
1440.00	94.474
1442.00	100.657
1444.00	99.845
1446.00	96.534
1448.00	100.528
1450.00	95.554
1452.00	102.861
1454.00	98.307
1456.00	97.314
1458.00	93.465
1460.00	101.321
1462.00	93.884
1464.00	102.368
1466.00	95.234
1468.00	100.454
1470.00	99.622
1472.00	96.726
1474.00	99.063
1476.00	94.332
1478.00	99.310
1480.00	101.489
1482.00	95.514
1484.00	98.563
1486.00	99.103
1488.00	97.451
1490.00	99.009
1492.00	97.227
1494.00	92.845
1496.00	99.024
1498.00	94.274
1500.00	100.341
1502.00	95.169
1504.00	97.813
1506.00	97.774
1508.00	94.069
1510.00	99.114
1512.00	97.979
1514.00	96.048
1516.00	93.873
1518.00	95.916
1520.00	98.529
1522.00	98.670
1524.00	95.170
1526.00	98.171
1528.00	97.857
1530.00	94.776
1532.00	102.624
1534.00	88.371
1536.00	98.925
1538.00	98.389
1540.00	92.403
1542.00	98.778
1544.00	95.999
1546.00	94.585
1548.00	93.202
1550.00	95.476
1552.00	94.613
1554.00	99.037
1556.00	96.024
1558.00	94.023
1560.00	100.466
1562.00	90.376
1564.00	101.465
1566.00	91.798
1568.00	94.971
1570.00	97.961
1572.00	92.758
1574.00	94.430
1576.00	96.729
1578.00	91.366
1580.00	94.336
1582.00	100.775
1584.00	89.647
1586.00	96.357
1588.00	89.906
1590.00	95.688
1592.00	95.764
1594.00	93.291
1596.00	96.416
1598.00	99.784
1600.00	93.693
1602.00	94.476
1604.00	93.136
1606.00	91.887
1608.00	96.613
1610.00	93.670
1612.00	98.889
1614.00	98.729
1616.00	89.081
1618.00	101.454
1620.00	93.215
1622.00	97.256
1624.00	97.128
1626.00	94.164
1628.00	96.985
1630.00	93.191
1632.00	98.273
1634.00	96.501
1636.00	99.127
1638.00	90.400
1640.00	101.153
1642.00	85.476
1644.00	94.640
1646.00	90.551
1648.00	93.109
1650.00	94.214
1652.00	88.182
1654.00	96.081
1656.00	84.570
1658.00	93.873
1660.00	90.357
1662.00	87.872
1664.00	83.694
1666.00	88.135
1668.00	92.993
1670.00	91.000
1672.00	90.910
1674.00	90.094
1676.00	105.472
1678.00	88.934
1680.00	93.754
1682.00	93.885
1684.00	87.738
1686.00	78.097
1688.00	97.037
1690.00	94.761
1692.00	85.446
1694.00	102.456
1696.00	91.071
1698.00	92.838
1700.00	93.225
1702.00	106.634
1704.00	92.975
1706.00	97.383
1708.00	93.227
1710.00	101.151
1712.00	85.807
1714.00	77.940
1716.00	80.609
1718.00	103.841
1720.00	83.045
1722.00	86.111
1724.00	95.634
1726.00	87.682
1728.00	82.467
1730.00	84.805
1732.00	87.121
1734.00	88.849
1736.00	113.383
1738.00	101.620
1740.00	84.135
1742.00	98.200
1744.00	96.569
1746.00	105.001
1748.00	106.466
1750.00	96.776
1752.00	97.286
1754.00	89.998
1756.00	97.820
1758.00	94.430
1760.00	87.698
1762.00	77.203
1764.00	96.151
1766.00	87.113
1768.00	79.780
1770.00	105.141
1772.00	93.226
1774.00	93.688
1776.00	103.940
1778.00	87.677
1780.00	92.180
1782.00	117.800
1784.00	91.538
1786.00	92.421
1788.00	107.871
1790.00	103.962
1792.00	88.494
1794.00	69.647
1796.00	86.437
1798.00	74.297
1800.00	103.842
1802.00	96.643
1804.00	99.359
1806.00	88.221
1808.00	97.562
1810.00	85.860
1812.00	95.306
1814.00	88.560
1816.00	104.570
1818.00	85.457
1820.00	70.562
1822.00	104.465
1824.00	111.528
1826.00	79.150
1828.00	91.824
1830.00	69.245
1832.00	75.381
1834.00	101.136
1836.00	91.046
1838.00	107.054
1840.00	92.487
1842.00	96.763
1844.00	105.137
1846.00	73.238
1848.00	88.519
1850.00	76.259
1852.00	95.323
1854.00	84.217
1856.00	93.048
1858.00	133.071
1860.00	95.229
1862.00	94.859
1864.00	82.673
1866.00	111.709
1868.00	92.266
1870.00	58.380
1872.00	56.195
1874.00	103.173
1876.00	67.218
1878.00	81.398
1880.00	96.796
1882.00	112.710
1884.00	90.783
1886.00	112.957
1888.00	94.274
1890.00	61.836
1892.00	65.180
1894.00	119.514
1896.00	123.277
1898.00	91.109
1900.00	44.242
1902.00	124.203
1904.00	130.788
1906.00	251.147
1908.00	118.250
1910.00	127.863
1912.00	64.855
1914.00	90.427
1916.00	105.232
1918.00	129.405
1920.00	184.381
1922.00	168.609
1924.00	129.141
1926.00	114.098
1928.00	121.160
1930.00	100.222
1932.00	142.061
1934.00	138.254
1936.00	119.705
1938.00	62.863
1940.00	174.879
1942.00	102.636
1944.00	58.207
1946.00	102.952
1948.00	110.060
1950.00	122.605
1952.00	81.761
1954.00	113.018
1956.00	96.667
1958.00	147.009
1960.00	100.991
1962.00	144.623
1964.00	119.406
1966.00	85.643
1968.00	126.978
1970.00	117.427
1972.00	151.788
1974.00	125.245
1976.00	95.656
1978.00	151.601
1980.00	57.036
1982.00	146.875
1984.00	128.424
1986.00	127.511
1988.00	50.642
1990.00	124.679
1992.00	149.319
1994.00	123.599
1996.00	95.426
1998.00	175.921
2000.00	136.647
